PDBCode	Description	Organism	Ligand Names	LigandIds	No.of Ligands	ChainNames	No of Chains	Ligand Dictionary	Chain Dictionary	Chain Lengths
2ZAD	Muconate cycloisomerase	Thermotoga maritima	['MANGANESE (II) ION', 'PENTAETHYLENE GLYCOL', 'DI(HYDROXYETHYL)ETHER', 'water']	['MN', '1PE', 'PEG', 'HOH']	4	A,B,C,D	4	{'PEG': {'A': 2, 'C': 0, 'B': 1, 'D': 1}, 'MN': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 292, 'C': 321, 'B': 313, 'D': 292}, '1PE': {'A': 3, 'C': 3, 'B': 2, 'D': 3}}	{'A': {'PEG': 2, 'MN': 1, 'HOH': 292, '1PE': 3}, 'C': {'PEG': 0, 'MN': 1, 'HOH': 321, '1PE': 3}, 'B': {'PEG': 1, 'MN': 1, 'HOH': 313, '1PE': 2}, 'D': {'PEG': 1, 'MN': 1, 'HOH': 292, '1PE': 3}}	{'A': 345, 'C': 345, 'B': 345, 'D': 345}
2ZC8	N-acylamino acid racemase	Thermus thermophilus	['water']	['HOH']	1	A,B	2	{'HOH': {'A': 215, 'B': 240}}	{'A': {'HOH': 215}, 'B': {'HOH': 240}}	{'A': 369, 'B': 369}
3B97	Alpha-enolase	Thermus thermophilus	['MAGNESIUM ION', 'SULFATE ION', 'water']	['MG', 'SO4', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 2, 'C': 2, 'B': 2, 'D': 2}, 'SO4': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 193, 'C': 132, 'B': 171, 'D': 98}}	{'A': {'MG': 2, 'SO4': 1, 'HOH': 193}, 'C': {'MG': 2, 'SO4': 1, 'HOH': 132}, 'B': {'MG': 2, 'SO4': 1, 'HOH': 171}, 'D': {'MG': 2, 'SO4': 1, 'HOH': 98}}	{'A': 433, 'C': 433, 'B': 433, 'D': 433}
3BOX	L-rhamnonate dehydratase	Salmonella typhimurium LT2	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B	2	{'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 198, 'B': 261}}	{'A': {'MG': 1, 'HOH': 198}, 'B': {'MG': 1, 'HOH': 261}}	{'A': 415, 'B': 415}
3caw	o-succinylbenzoate synthase	Bdellovibrio bacteriovorus HD100	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B	2	{'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 118, 'B': 124}}	{'A': {'MG': 1, 'HOH': 118}, 'B': {'MG': 1, 'HOH': 124}}	{'A': 330, 'B': 330}
3CB3	Mandelate racemase/muconate lactonizing enzyme	Polaromonas sp.	['MAGNESIUM ION', 'L-GLUCARIC ACID', 'water']	['MG', 'LGT', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 2, 'C': 2, 'B': 2, 'D': 2}, 'HOH': {'A': 141, 'C': 107, 'B': 123, 'D': 129}, 'LGT': {'A': 1, 'C': 1, 'B': 1, 'D': 1}}	{'A': {'MG': 2, 'HOH': 141, 'LGT': 1}, 'C': {'MG': 2, 'HOH': 107, 'LGT': 1}, 'B': {'MG': 2, 'HOH': 123, 'LGT': 1}, 'D': {'MG': 2, 'HOH': 129, 'LGT': 1}}	{'A': 393, 'C': 393, 'B': 393, 'D': 393}
3CXO	Putative galactonate dehydratase	Salmonella typhimurium LT2	['SUGAR (3,6-DIDEOXY-L-ARABINO-HEXONIC ACID)', 'MAGNESIUM ION', '(2R,4S)-2,4,7-TRIHYDROXYHEPTANOIC ACID', 'water']	['3LR', 'MG', '1N5', 'HOH']	4	A,B	2	{'1N5': {'A': 0, 'B': 1}, 'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 265, 'B': 171}, '3LR': {'A': 1, 'B': 0}}	{'A': {'1N5': 0, 'MG': 1, 'HOH': 265, '3LR': 1}, 'B': {'1N5': 1, 'MG': 1, 'HOH': 171, '3LR': 0}}	{'A': 415, 'B': 415}
3D46	Putative galactonate dehydratase	Salmonella typhimurium LT2	['MAGNESIUM ION', 'L(+)-TARTARIC ACID', 'water']	['MG', 'TLA', 'HOH']	3	A,B,C,D,E,F,G,H	8	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'TLA': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'HOH': {'A': 189, 'C': 216, 'B': 179, 'E': 210, 'D': 225, 'G': 190, 'F': 232, 'H': 204}}	{'A': {'MG': 1, 'TLA': 1, 'HOH': 189}, 'C': {'MG': 1, 'TLA': 1, 'HOH': 216}, 'B': {'MG': 1, 'TLA': 1, 'HOH': 179}, 'E': {'MG': 1, 'TLA': 1, 'HOH': 210}, 'D': {'MG': 1, 'TLA': 1, 'HOH': 225}, 'G': {'MG': 1, 'TLA': 1, 'HOH': 190}, 'F': {'MG': 1, 'TLA': 1, 'HOH': 232}, 'H': {'MG': 1, 'TLA': 1, 'HOH': 204}}	{'A': 405, 'C': 405, 'B': 405, 'E': 405, 'D': 405, 'G': 405, 'F': 405, 'H': 405}
3D47	Putative galactonate dehydratase	Salmonella typhimurium LT2	['MAGNESIUM ION', 'MALATE ION', 'water']	['MG', 'MLT', 'HOH']	3	A,B,C,D,E,F,G,H	8	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'HOH': {'A': 274, 'C': 237, 'B': 202, 'E': 194, 'D': 165, 'G': 267, 'F': 225, 'H': 152}, 'MLT': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}}	{'A': {'MG': 1, 'HOH': 274, 'MLT': 1}, 'C': {'MG': 1, 'HOH': 237, 'MLT': 1}, 'B': {'MG': 1, 'HOH': 202, 'MLT': 1}, 'E': {'MG': 1, 'HOH': 194, 'MLT': 1}, 'D': {'MG': 1, 'HOH': 165, 'MLT': 1}, 'G': {'MG': 1, 'HOH': 267, 'MLT': 1}, 'F': {'MG': 1, 'HOH': 225, 'MLT': 1}, 'H': {'MG': 1, 'HOH': 152, 'MLT': 1}}	{'A': 405, 'C': 405, 'B': 405, 'E': 405, 'D': 405, 'G': 405, 'F': 405, 'H': 405}
3DFY	Muconate cycloisomerase	Thermotoga maritima MSB8	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P	16	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1, 'K': 1, 'J': 1, 'M': 1, 'L': 1, 'O': 1, 'N': 1, 'P': 1}, 'HOH': {'A': 83, 'C': 67, 'B': 73, 'E': 63, 'D': 52, 'G': 65, 'F': 63, 'I': 77, 'H': 78, 'K': 56, 'J': 75, 'M': 67, 'L': 59, 'O': 63, 'N': 65, 'P': 66}}	{'A': {'MG': 1, 'HOH': 83}, 'C': {'MG': 1, 'HOH': 67}, 'B': {'MG': 1, 'HOH': 73}, 'E': {'MG': 1, 'HOH': 63}, 'D': {'MG': 1, 'HOH': 52}, 'G': {'MG': 1, 'HOH': 65}, 'F': {'MG': 1, 'HOH': 63}, 'I': {'MG': 1, 'HOH': 77}, 'H': {'MG': 1, 'HOH': 78}, 'K': {'MG': 1, 'HOH': 56}, 'J': {'MG': 1, 'HOH': 75}, 'M': {'MG': 1, 'HOH': 67}, 'L': {'MG': 1, 'HOH': 59}, 'O': {'MG': 1, 'HOH': 63}, 'N': {'MG': 1, 'HOH': 65}, 'P': {'MG': 1, 'HOH': 66}}	{'A': 345, 'C': 345, 'B': 345, 'E': 345, 'D': 345, 'G': 345, 'F': 345, 'I': 345, 'H': 345, 'K': 345, 'J': 345, 'M': 345, 'L': 345, 'O': 345, 'N': 345, 'P': 345}
3DG3	Muconate cycloisomerase	Mycobacterium smegmatis	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A	1	{'MG': {'A': 1}, 'HOH': {'A': 298}}	{'A': {'MG': 1, 'HOH': 298}}	{'A': 367}
3DG6	Muconate cycloisomerase	Mycobacterium smegmatis	['MAGNESIUM ION', '[(2S)-5-OXO-2,5-DIHYDROFURAN-2-YL]ACETIC ACID', 'water']	['MG', 'MUC', 'HOH']	3	A	1	{'MG': {'A': 1}, 'HOH': {'A': 299}, 'MUC': {'A': 1}}	{'A': {'MG': 1, 'HOH': 299, 'MUC': 1}}	{'A': 367}
3DG7	Muconate cycloisomerase	Mycobacterium smegmatis	['MAGNESIUM ION', '[(2S)-5-OXO-2,5-DIHYDROFURAN-2-YL]ACETIC ACID', 'water']	['MG', 'MUC', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 201, 'C': 202, 'B': 198, 'D': 188}, 'MUC': {'A': 1, 'C': 1, 'B': 1, 'D': 1}}	{'A': {'MG': 1, 'HOH': 201, 'MUC': 1}, 'C': {'MG': 1, 'HOH': 202, 'MUC': 1}, 'B': {'MG': 1, 'HOH': 198, 'MUC': 1}, 'D': {'MG': 1, 'HOH': 188, 'MUC': 1}}	{'A': 367, 'C': 367, 'B': 367, 'D': 367}
3EKG	Mandelate racemase/muconate lactonizing enzyme	Azotobacter vinelandii AvOP	['L(+)-TARTARIC ACID', 'MAGNESIUM ION', 'water']	['TLA', 'MG', 'HOH']	3	A,B	2	{'TLA': {'A': 1, 'B': 1}, 'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 220, 'B': 214}}	{'A': {'TLA': 1, 'MG': 1, 'HOH': 220}, 'B': {'TLA': 1, 'MG': 1, 'HOH': 214}}	{'A': 404, 'B': 404}
3ENL	ENOLASE	Saccharomyces cerevisiae	['SULFATE ION', 'water']	['SO4', 'HOH']	2	A	1	{'SO4': {'A': 1}, 'HOH': {'A': 353}}	{'A': {'SO4': 1, 'HOH': 353}}	{'A': 436}
3ES7	Muconate cycloisomerase	Oceanobacillus iheyensis	['(2S)-2-HYDROXYBUTANEDIOIC ACID', 'MAGNESIUM ION', 'water']	['LMR', 'MG', 'HOH']	3	A,B	2	{'LMR': {'A': 1, 'B': 1}, 'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 131, 'B': 115}}	{'A': {'LMR': 1, 'MG': 1, 'HOH': 131}, 'B': {'LMR': 1, 'MG': 1, 'HOH': 115}}	{'A': 391, 'B': 391}
3ES8	Muconate cycloisomerase	Oceanobacillus iheyensis	['(2S)-2-HYDROXYBUTANEDIOIC ACID', 'MAGNESIUM ION', 'water']	['LMR', 'MG', 'HOH']	3	A,B,C,D,E,F,G,H	8	{'LMR': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'HOH': {'A': 79, 'C': 51, 'B': 50, 'E': 69, 'D': 64, 'G': 65, 'F': 74, 'H': 54}}	{'A': {'LMR': 1, 'MG': 1, 'HOH': 79}, 'C': {'LMR': 1, 'MG': 1, 'HOH': 51}, 'B': {'LMR': 1, 'MG': 1, 'HOH': 50}, 'E': {'LMR': 1, 'MG': 1, 'HOH': 69}, 'D': {'LMR': 1, 'MG': 1, 'HOH': 64}, 'G': {'LMR': 1, 'MG': 1, 'HOH': 65}, 'F': {'LMR': 1, 'MG': 1, 'HOH': 74}, 'H': {'LMR': 1, 'MG': 1, 'HOH': 54}}	{'A': 391, 'C': 391, 'B': 391, 'E': 391, 'D': 391, 'G': 391, 'F': 391, 'H': 391}
3fvd	Mandelate racemase/muconate lactonizing enzyme	Roseovarius nubinhibens ISM	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	B,A	2	{'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 342, 'B': 0}}	{'A': {'MG': 1, 'HOH': 342}, 'B': {'MG': 1, 'HOH': 0}}	{'A': 378, 'B': 378}
3FXG	Rhamnonate dehydratase	Gibberella zeae PH-1	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D,E,F,G,H	8	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'HOH': {'A': 387, 'C': 451, 'B': 416, 'E': 412, 'D': 410, 'G': 444, 'F': 416, 'H': 433}}	{'A': {'MG': 1, 'HOH': 387}, 'C': {'MG': 1, 'HOH': 451}, 'B': {'MG': 1, 'HOH': 416}, 'E': {'MG': 1, 'HOH': 412}, 'D': {'MG': 1, 'HOH': 410}, 'G': {'MG': 1, 'HOH': 444}, 'F': {'MG': 1, 'HOH': 416}, 'H': {'MG': 1, 'HOH': 433}}	{'A': 455, 'C': 455, 'B': 455, 'E': 455, 'D': 455, 'G': 455, 'F': 455, 'H': 455}
3FYY	Muconate cycloisomerase	Oceanobacillus iheyensis HTE831	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B	2	{'MG': {'A': 2, 'B': 2}, 'HOH': {'A': 290, 'B': 288}}	{'A': {'MG': 2, 'HOH': 290}, 'B': {'MG': 2, 'HOH': 288}}	{'A': 391, 'B': 391}
3GC2	o-succinylbenzoate synthase	Salmonella typhimurium	['SUCCINIC ACID', '4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID', 'SODIUM ION', 'CHLORIDE ION', 'water']	['SIN', 'EPE', 'NA', 'CL', 'HOH']	5	A	1	{'NA': {'A': 2}, 'EPE': {'A': 1}, 'SIN': {'A': 2}, 'HOH': {'A': 316}, 'CL': {'A': 2}}	{'A': {'NA': 2, 'EPE': 1, 'SIN': 2, 'HOH': 316, 'CL': 2}}	{'A': 323}
3GD6	Muconate cycloisomerase	Oceanobacillus iheyensis HTE831	['PHOSPHATE ION', 'water']	['PO4', 'HOH']	2	A	1	{'PO4': {'A': 1}, 'HOH': {'A': 196}}	{'A': {'PO4': 1, 'HOH': 196}}	{'A': 391}
3h7v	O-SUCCINYLBENZOATE SYNTHASE	Thermosynechococcus elongatus BP-1	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A	1	{'MG': {'A': 1}, 'HOH': {'A': 358}}	{'A': {'MG': 1, 'HOH': 358}}	{'A': 330}
3h8a	Enolase	Thermosynechococcus elongatus BP-1	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 0, 'E': 0, 'D': 0, 'F': 0}, 'HOH': {'A': 382, 'C': 247, 'B': 268, 'E': 34, 'D': 293, 'F': 28}}	{'A': {'MG': 1, 'HOH': 382}, 'C': {'MG': 1, 'HOH': 247}, 'B': {'MG': 0, 'HOH': 268}, 'E': {'MG': 0, 'HOH': 34}, 'D': {'MG': 0, 'HOH': 293}, 'F': {'MG': 0, 'HOH': 28}}	{'A': 432, 'C': 432, 'B': 432, 'E': 28, 'D': 432, 'F': 28}
3h70	O-succinylbenzoic acid (OSB) synthetase	Staphylococcus aureus	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A	1	{'MG': {'A': 1}, 'HOH': {'A': 294}}	{'A': {'MG': 1, 'HOH': 294}}	{'A': 343}
3HPF	Muconate cycloisomerase	Oceanobacillus iheyensis HTE831	['D-GALACTARIC ACID', 'MAGNESIUM ION', 'water']	['GAE', 'MG', 'HOH']	3	A,B	2	{'GAE': {'A': 1, 'B': 1}, 'MG': {'A': 2, 'B': 2}, 'HOH': {'A': 238, 'B': 250}}	{'A': {'GAE': 1, 'MG': 2, 'HOH': 238}, 'B': {'GAE': 1, 'MG': 2, 'HOH': 250}}	{'A': 391, 'B': 391}
3I6E	Muconate cycloisomerase I	Ruegeria pomeroyi	['MAGNESIUM ION', 'SODIUM ION', 'water']	['MG', 'NA', 'HOH']	3	A,B,C,D,E,F,G,H	8	{'NA': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'HOH': {'A': 125, 'C': 97, 'B': 133, 'E': 101, 'D': 116, 'G': 150, 'F': 130, 'H': 85}}	{'A': {'NA': 1, 'MG': 1, 'HOH': 125}, 'C': {'NA': 1, 'MG': 1, 'HOH': 97}, 'B': {'NA': 1, 'MG': 1, 'HOH': 133}, 'E': {'NA': 1, 'MG': 1, 'HOH': 101}, 'D': {'NA': 1, 'MG': 1, 'HOH': 116}, 'G': {'NA': 1, 'MG': 1, 'HOH': 150}, 'F': {'NA': 1, 'MG': 1, 'HOH': 130}, 'H': {'NA': 1, 'MG': 1, 'HOH': 85}}	{'A': 385, 'C': 385, 'B': 385, 'E': 385, 'D': 385, 'G': 385, 'F': 385, 'H': 385}
3I6T	Muconate cycloisomerase	Jannaschia sp.	['POTASSIUM ION', 'MAGNESIUM ION', 'water']	['K', 'MG', 'HOH']	3	A,B,C,D	4	{'K': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 273, 'C': 202, 'B': 275, 'D': 216}}	{'A': {'K': 1, 'MG': 1, 'HOH': 273}, 'C': {'K': 1, 'MG': 1, 'HOH': 202}, 'B': {'K': 1, 'MG': 1, 'HOH': 275}, 'D': {'K': 1, 'MG': 1, 'HOH': 216}}	{'A': 381, 'C': 381, 'B': 381, 'D': 381}
3iji	Muconate cycloisomerase	Bacteroides thetaiotaomicron	['ALANINE', 'D-GLUTAMIC ACID', 'MAGNESIUM ION', 'water']	['ALA', 'DGL', 'MG', 'HOH']	4	A,B	2	{'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 421, 'B': 482}, 'DGL': {'A': 1, 'B': 1}, 'ALA': {'A': 1, 'B': 1}}	{'A': {'MG': 1, 'HOH': 421, 'DGL': 1, 'ALA': 1}, 'B': {'MG': 1, 'HOH': 482, 'DGL': 1, 'ALA': 1}}	{'A': 338, 'B': 338}
3ijl	Muconate cycloisomerase	Bacteroides thetaiotaomicron	['PROLINE', 'D-GLUTAMIC ACID', 'MAGNESIUM ION', 'water']	['PRO', 'DGL', 'MG', 'HOH']	4	A,B	2	{'HOH': {'A': 296, 'B': 352}, 'PRO': {'A': 1, 'B': 1}, 'MG': {'A': 1, 'B': 1}, 'DGL': {'A': 1, 'B': 1}}	{'A': {'HOH': 296, 'PRO': 1, 'MG': 1, 'DGL': 1}, 'B': {'HOH': 352, 'PRO': 1, 'MG': 1, 'DGL': 1}}	{'A': 338, 'B': 338}
3ijq	Muconate cycloisomerase	Bacteroides thetaiotaomicron	['ALANINE', 'D-GLUTAMIC ACID', 'MAGNESIUM ION', 'SULFATE ION', 'water']	['ALA', 'DGL', 'MG', 'SO4', 'HOH']	5	A,B	2	{'HOH': {'A': 85, 'B': 103}, 'MG': {'A': 1, 'B': 1}, 'SO4': {'A': 0, 'B': 1}, 'DGL': {'A': 1, 'B': 1}, 'ALA': {'A': 1, 'B': 1}}	{'A': {'HOH': 85, 'MG': 1, 'SO4': 0, 'DGL': 1, 'ALA': 1}, 'B': {'HOH': 103, 'MG': 1, 'SO4': 1, 'DGL': 1, 'ALA': 1}}	{'A': 338, 'B': 338}
3ik4	Mandelate racemase/muconate lactonizing protein	Herpetosiphon aurantiacus ATCC 23779	['POTASSIUM ION', 'GLYCEROL', 'water']	['K', 'GOL', 'HOH']	3	A,B,C,D	4	{'GOL': {'A': 0, 'C': 1, 'B': 1, 'D': 0}, 'K': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 90, 'C': 30, 'B': 91, 'D': 26}}	{'A': {'GOL': 0, 'K': 1, 'HOH': 90}, 'C': {'GOL': 1, 'K': 1, 'HOH': 30}, 'B': {'GOL': 1, 'K': 1, 'HOH': 91}, 'D': {'GOL': 0, 'K': 1, 'HOH': 26}}	{'A': 365, 'C': 365, 'B': 365, 'D': 365}
3jva	Dipeptide Epimerase	Enterococcus faecalis V583	['GLYCEROL', 'MAGNESIUM ION', 'SULFATE ION', 'water']	['GOL', 'MG', 'SO4', 'HOH']	4	A,B,C,D,E,F,G,H	8	{'GOL': {'A': 1, 'C': 0, 'B': 3, 'E': 0, 'D': 0, 'G': 0, 'F': 1, 'H': 0}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'SO4': {'A': 1, 'C': 2, 'B': 0, 'E': 1, 'D': 0, 'G': 1, 'F': 0, 'H': 0}, 'HOH': {'A': 97, 'C': 78, 'B': 153, 'E': 90, 'D': 131, 'G': 76, 'F': 138, 'H': 125}}	{'A': {'GOL': 1, 'MG': 1, 'SO4': 1, 'HOH': 97}, 'C': {'GOL': 0, 'MG': 1, 'SO4': 2, 'HOH': 78}, 'B': {'GOL': 3, 'MG': 1, 'SO4': 0, 'HOH': 153}, 'E': {'GOL': 0, 'MG': 1, 'SO4': 1, 'HOH': 90}, 'D': {'GOL': 0, 'MG': 1, 'SO4': 0, 'HOH': 131}, 'G': {'GOL': 0, 'MG': 1, 'SO4': 1, 'HOH': 76}, 'F': {'GOL': 1, 'MG': 1, 'SO4': 0, 'HOH': 138}, 'H': {'GOL': 0, 'MG': 1, 'SO4': 0, 'HOH': 125}}	{'A': 354, 'C': 354, 'B': 354, 'E': 354, 'D': 354, 'G': 354, 'F': 354, 'H': 354}
3jw7	Dipeptide Epimerase	Enterococcus faecalis V583	['ISOLEUCINE', 'TYROSINE', 'GLYCEROL', 'MAGNESIUM ION', 'water']	['ILE', 'TYR', 'GOL', 'MG', 'HOH']	5	A,B,C,D,E,F,G,H	8	{'GOL': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'ILE': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'HOH': {'A': 264, 'C': 92, 'B': 269, 'E': 268, 'D': 85, 'G': 189, 'F': 189, 'H': 269}, 'TYR': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}}	{'A': {'GOL': 1, 'MG': 1, 'ILE': 1, 'HOH': 264, 'TYR': 1}, 'C': {'GOL': 1, 'MG': 1, 'ILE': 1, 'HOH': 92, 'TYR': 1}, 'B': {'GOL': 1, 'MG': 1, 'ILE': 1, 'HOH': 269, 'TYR': 1}, 'E': {'GOL': 1, 'MG': 1, 'ILE': 1, 'HOH': 268, 'TYR': 1}, 'D': {'GOL': 1, 'MG': 1, 'ILE': 1, 'HOH': 85, 'TYR': 1}, 'G': {'GOL': 1, 'MG': 1, 'ILE': 1, 'HOH': 189, 'TYR': 1}, 'F': {'GOL': 1, 'MG': 1, 'ILE': 1, 'HOH': 189, 'TYR': 1}, 'H': {'GOL': 1, 'MG': 1, 'ILE': 1, 'HOH': 269, 'TYR': 1}}	{'A': 354, 'C': 354, 'B': 354, 'E': 354, 'D': 354, 'G': 354, 'F': 354, 'H': 354}
3jzu	Dipeptide Epimerase	Enterococcus faecalis V583	['LEUCINE', 'TYROSINE', 'MAGNESIUM ION', 'water']	['LEU', 'TYR', 'MG', 'HOH']	4	A,B,C,D,E,F,G,H	8	{'HOH': {'A': 86, 'C': 15, 'B': 63, 'E': 94, 'D': 44, 'G': 15, 'F': 65, 'H': 41}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'LEU': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'TYR': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}}	{'A': {'HOH': 86, 'MG': 1, 'LEU': 1, 'TYR': 1}, 'C': {'HOH': 15, 'MG': 1, 'LEU': 1, 'TYR': 1}, 'B': {'HOH': 63, 'MG': 1, 'LEU': 1, 'TYR': 1}, 'E': {'HOH': 94, 'MG': 1, 'LEU': 1, 'TYR': 1}, 'D': {'HOH': 44, 'MG': 1, 'LEU': 1, 'TYR': 1}, 'G': {'HOH': 15, 'MG': 1, 'LEU': 1, 'TYR': 1}, 'F': {'HOH': 65, 'MG': 1, 'LEU': 1, 'TYR': 1}, 'H': {'HOH': 41, 'MG': 1, 'LEU': 1, 'TYR': 1}}	{'A': 354, 'C': 354, 'B': 354, 'E': 354, 'D': 354, 'G': 354, 'F': 354, 'H': 354}
3k1g	Dipeptide Epimerase	Enterococcus faecalis V583	['SERINE', 'TYROSINE', 'GLYCEROL', 'MAGNESIUM ION', 'water']	['SER', 'TYR', 'GOL', 'MG', 'HOH']	5	A,B,C,D,E,F,G,H	8	{'HOH': {'A': 70, 'C': 47, 'B': 93, 'E': 56, 'D': 26, 'G': 74, 'F': 27, 'H': 92}, 'GOL': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'SER': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'TYR': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}}	{'A': {'HOH': 70, 'GOL': 1, 'MG': 1, 'SER': 1, 'TYR': 1}, 'C': {'HOH': 47, 'GOL': 1, 'MG': 1, 'SER': 1, 'TYR': 1}, 'B': {'HOH': 93, 'GOL': 1, 'MG': 1, 'SER': 1, 'TYR': 1}, 'E': {'HOH': 56, 'GOL': 1, 'MG': 1, 'SER': 1, 'TYR': 1}, 'D': {'HOH': 26, 'GOL': 1, 'MG': 1, 'SER': 1, 'TYR': 1}, 'G': {'HOH': 74, 'GOL': 1, 'MG': 1, 'SER': 1, 'TYR': 1}, 'F': {'HOH': 27, 'GOL': 1, 'MG': 1, 'SER': 1, 'TYR': 1}, 'H': {'HOH': 92, 'GOL': 1, 'MG': 1, 'SER': 1, 'TYR': 1}}	{'A': 354, 'C': 354, 'B': 354, 'E': 354, 'D': 354, 'G': 354, 'F': 354, 'H': 354}
